날짜,시가*,고가,저가,종가**,거래량,시가총액
21-Sep-20,?96.09,?97.82,?84.00,?87.29,"?2,366,560,531","?16,084,926,775"
20-Sep-20,?95.03,?98.67,?91.26,?96.09,"?2,115,131,224","?17,707,511,345"
19-Sep-20,?83.39,?104.10,?82.71,?95.80,"?4,347,857,779","?17,653,170,389"
18-Sep-20,?84.01,?88.02,?80.82,?83.40,"?1,875,771,615","?15,368,749,832"
17-Sep-20,?86.79,?86.95,?80.90,?84.01,"?1,445,932,251","?15,480,601,875"
16-Sep-20,?85.91,?87.61,?80.18,?86.79,"?3,389,960,578","?15,992,993,724"
15-Sep-20,?89.06,?90.60,?85.23,?85.91,"?3,432,687,196","?15,831,096,364"
14-Sep-20,?94.87,?95.61,?88.14,?89.06,"?2,091,994,121","?16,411,745,110"
13-Sep-20,?92.51,?99.18,?91.17,?94.87,"?2,386,602,296","?17,482,858,064"
12-Sep-20,?87.04,?95.72,?85.57,?92.63,"?2,432,192,136","?17,069,813,400"
11-Sep-20,?88.28,?101.23,?82.99,?87.11,"?3,786,337,755","?16,052,915,941"
10-Sep-20,?77.91,?88.94,?77.37,?88.28,"?2,543,226,078","?16,267,598,661"
09-Sep-20,?73.97,?78.56,?73.71,?77.91,"?1,560,468,740","?14,356,040,629"
08-Sep-20,?77.14,?78.94,?73.00,?73.97,"?1,750,661,253","?13,630,813,675"
07-Sep-20,?78.58,?79.94,?73.24,?77.13,"?2,071,467,864","?14,212,544,660"
06-Sep-20,?77.12,?79.16,?74.27,?78.79,"?2,066,972,794","?14,519,473,528"
05-Sep-20,?79.81,?83.46,?72.89,?77.12,"?3,196,709,537","?14,211,581,122"
04-Sep-20,?80.43,?84.03,?73.87,?79.62,"?3,659,255,500","?14,672,592,220"
03-Sep-20,?99.04,?99.83,?80.03,?80.66,"?6,745,887,411","?14,863,136,231"
02-Sep-20,?105.35,?105.89,?88.27,?99.14,"?6,534,391,649","?18,268,163,865"
01-Sep-20,?100.34,?109.81,?99.27,?104.94,"?6,035,039,247","?19,338,644,303"
31-Aug-20,?102.55,?105.13,?99.36,?100.35,"?5,047,223,807","?18,491,221,563"
30-Aug-20,?102.84,?109.40,?101.08,?102.89,"?6,070,221,574","?18,960,677,145"
29-Aug-20,?103.88,?103.89,?98.69,?103.02,"?5,783,482,238","?18,983,692,453"
28-Aug-20,?99.66,?108.55,?98.20,?103.10,"?6,036,452,104","?18,998,034,795"
27-Aug-20,?108.35,?110.10,?99.58,?99.65,"?4,945,591,011","?18,362,885,945"
26-Aug-20,?108.95,?111.24,?106.78,?108.51,"?1,975,509,254","?19,995,420,373"
25-Aug-20,?113.47,?114.00,?105.21,?108.34,"?6,061,138,867","?19,963,728,655"
24-Aug-20,?111.96,?116.17,?108.42,?113.46,"?5,526,394,136","?20,908,254,744"
23-Aug-20,?109.03,?112.59,?105.78,?111.42,"?4,597,248,928","?20,531,689,198"
22-Aug-20,?108.99,?113.73,?102.05,?109.55,"?4,816,940,866","?20,187,937,180"
21-Aug-20,?117.89,?130.28,?107.03,?109.02,"?11,648,325,047","?20,089,609,475"
20-Aug-20,?104.77,?118.81,?104.76,?117.70,"?5,982,473,531","?21,689,311,142"
19-Aug-20,?114.88,?117.48,?102.04,?104.77,"?6,290,705,247","?19,305,898,810"
18-Aug-20,?104.56,?117.04,?97.59,?113.98,"?7,585,953,187","?21,002,944,933"
17-Aug-20,?115.12,?116.01,?100.69,?106.58,"?6,087,051,586","?19,639,484,075"
16-Aug-20,?119.49,?124.69,?111.55,?115.12,"?7,028,891,395","?21,214,299,171"
15-Aug-20,?117.94,?130.52,?107.66,?120.00,"?13,478,900,609","?22,113,636,555"
14-Aug-20,?82.17,?146.35,?82.14,?118.12,"?46,588,011,361","?21,766,343,890"
13-Aug-20,?76.53,?88.69,?74.60,?82.21,"?10,081,910,684","?15,148,933,885"
12-Aug-20,?71.11,?79.41,?68.24,?76.69,"?6,530,661,920","?14,132,966,343"
11-Aug-20,?69.24,?75.66,?67.67,?70.70,"?4,898,466,252","?13,027,343,057"
10-Aug-20,?73.83,?74.71,?68.93,?69.24,"?2,510,640,323","?12,759,627,700"
09-Aug-20,?70.96,?81.76,?67.64,?73.83,"?10,065,797,148","?13,605,199,480"
08-Aug-20,?62.84,?73.62,?61.20,?71.02,"?9,488,820,226","?13,087,657,993"
