날짜,시가*,고가,저가,종가**,거래량,시가총액
19-Sep-20,?12.99,?13.28,?12.95,?13.27,"?284,573,601","?493,579,422"
18-Sep-20,?12.93,?13.21,?12.91,?12.99,"?439,565,655","?482,926,982"
17-Sep-20,?13.17,?13.34,?12.83,?12.93,"?538,298,020","?480,867,459"
16-Sep-20,?13.22,?13.31,?12.78,?13.17,"?450,347,557","?489,933,473"
15-Sep-20,?13.44,?13.70,?13.01,?13.22,"?419,480,688","?491,467,880"
14-Sep-20,?13.14,?13.87,?13.03,?13.44,"?410,652,992","?499,698,669"
13-Sep-20,?13.59,?13.70,?13.00,?13.16,"?464,464,528","?489,491,359"
12-Sep-20,?13.44,?13.74,?13.33,?13.59,"?371,648,838","?505,374,404"
11-Sep-20,?13.69,?13.80,?13.24,?13.44,"?441,338,632","?499,935,530"
10-Sep-20,?13.52,?13.84,?13.24,?13.69,"?414,272,056","?509,086,398"
09-Sep-20,?13.26,?13.70,?12.95,?13.52,"?508,750,452","?502,595,389"
08-Sep-20,?13.34,?14.08,?13.00,?13.33,"?870,498,727","?495,651,209"
07-Sep-20,?13.78,?13.80,?12.68,?13.33,"?526,619,967","?495,776,566"
06-Sep-20,?13.20,?13.81,?13.17,?13.79,"?336,710,013","?512,810,319"
05-Sep-20,?13.56,?13.80,?13.06,?13.20,"?398,280,144","?490,859,628"
04-Sep-20,?12.78,?13.92,?12.73,?13.59,"?549,417,944","?505,511,969"
03-Sep-20,?14.45,?14.66,?12.68,?12.78,"?730,047,984","?475,161,565"
02-Sep-20,?15.29,?15.59,?13.92,?14.45,"?1,875,142,409","?537,291,269"
01-Sep-20,?15.50,?16.02,?15.18,?15.28,"?940,691,818","?568,077,047"
31-Aug-20,?15.71,?16.25,?15.32,?15.50,"?1,367,238,694","?576,469,759"
30-Aug-20,?15.86,?15.86,?15.53,?15.70,"?856,431,014","?583,984,599"
29-Aug-20,?15.54,?16.07,?15.48,?15.86,"?833,016,553","?589,864,192"
28-Aug-20,?15.06,?15.78,?14.90,?15.55,"?627,085,329","?578,102,751"
27-Aug-20,?16.39,?16.48,?14.79,?15.06,"?1,072,347,844","?559,930,738"
26-Aug-20,?16.77,?17.33,?15.60,?16.42,"?1,848,160,892","?610,643,052"
25-Aug-20,?15.87,?17.57,?15.78,?16.69,"?3,120,613,163","?620,524,763"
24-Aug-20,?15.22,?16.57,?14.89,?16.00,"?2,334,223,335","?595,153,021"
23-Aug-20,?14.65,?15.43,?14.35,?15.22,"?959,734,726","?566,017,613"
22-Aug-20,?14.53,?14.69,?13.85,?14.56,"?1,087,473,476","?541,276,586"
21-Aug-20,?15.18,?15.27,?14.52,?14.54,"?1,273,212,817","?540,738,582"
20-Aug-20,?15.15,?15.28,?14.61,?15.18,"?980,535,015","?564,621,616"
19-Aug-20,?15.43,?15.51,?14.66,?15.15,"?904,032,043","?563,415,563"
18-Aug-20,?15.57,?15.81,?15.01,?15.37,"?1,156,867,548","?571,481,724"
17-Aug-20,?15.85,?15.96,?14.99,?15.51,"?1,646,734,119","?576,747,316"
16-Aug-20,?15.95,?16.04,?15.39,?15.85,"?953,980,567","?589,335,743"
15-Aug-20,?15.67,?16.60,?15.41,?15.94,"?2,640,394,601","?592,890,911"
14-Aug-20,?15.16,?17.43,?15.09,?15.67,"?5,994,509,314","?582,821,501"
13-Aug-20,?14.68,?15.54,?14.08,?15.23,"?2,706,314,115","?566,510,819"
12-Aug-20,?13.99,?14.68,?13.36,?14.68,"?1,465,034,999","?545,905,771"
11-Aug-20,?14.54,?15.02,?13.69,?13.99,"?1,372,313,761","?520,326,649"
10-Aug-20,?14.67,?14.72,?14.08,?14.58,"?1,143,793,366","?542,298,081"
09-Aug-20,?13.83,?14.67,?13.75,?14.67,"?1,040,325,924","?545,682,353"
08-Aug-20,?13.70,?13.86,?13.59,?13.83,"?775,450,772","?514,312,236"
07-Aug-20,?13.89,?13.94,?13.48,?13.70,"?834,869,429","?509,609,727"
06-Aug-20,?13.45,?13.93,?13.17,?13.83,"?998,736,918","?514,333,865"
05-Aug-20,?13.62,?13.74,?13.17,?13.45,"?947,755,462","?500,298,501"
04-Aug-20,?13.76,?14.00,?13.31,?13.62,"?861,799,635","?506,445,648"
